dateTime,open,high,low,close
2019-01-16T12:02:59,1479.65,1481.9,1479.65,1481.2
2019-01-16T12:03:59,1481.2,1481.75,1481.2,1481.25
2019-01-16T12:04:59,1481.25,1481.85,1481.25,1481.85
2019-01-16T12:05:59,1481.85,1481.9,1481,1481
2019-01-16T12:06:59,1481,1481.9,1481,1481.9
2019-01-16T12:07:59,1481.9,1481.9,1481,1481.55
2019-01-16T12:08:59,1481.55,1481.55,1481.15,1481.5
2019-01-16T12:09:59,1481.5,1481.5,1481.5,1481.5
2019-01-16T12:10:59,1481.5,1481.9,1481.15,1481.15
2019-01-16T12:11:59,1481,1481,1481,1481
2019-01-16T12:12:59,1480.8,1480.95,1479,1479
2019-01-16T12:13:59,1479,1480,1479,1480
2019-01-16T12:14:59,1480,1481.5,1480,1481
2019-01-16T12:15:59,1481,1481.5,1480.25,1481
2019-01-16T12:16:59,1481,1481,1480.7,1481
2019-01-16T12:17:59,1481,1481.5,1480.75,1481.5
2019-01-16T12:18:59,1480.75,1481,1480.75,1481
2019-01-16T12:19:59,1480.9,1481,1480.05,1480.05
2019-01-16T12:20:59,1480.05,1480.75,1480.05,1480.75
2019-01-16T12:21:59,1480.75,1480.75,1480.4,1480.75
2019-01-16T12:22:59,1480.75,1481.25,1480.65,1480.65
2019-01-16T12:23:59,1480.65,1481,1480,1480.1
2019-01-16T12:24:59,1480.1,1481,1480.1,1480.25
2019-01-16T12:25:59,1480.25,1481,1480.25,1481
2019-01-16T12:26:59,1481,1481,1480.2,1481
2019-01-16T12:27:59,1481,1481,1481,1481
2019-01-16T12:28:59,1481,1481,1481,1481
2019-01-16T12:29:59,1481,1481.25,1481,1481.25
2019-01-16T12:30:59,1481.25,1481.25,1481,1481
2019-01-16T12:31:59,1481,1481.5,1480.85,1480.85
2019-01-16T12:32:59,1480.85,1481,1480.85,1481
2019-01-16T12:33:59,1481,1481.15,1480.5,1481.1
2019-01-16T12:34:59,1481.1,1481.15,1480.55,1480.65
2019-01-16T12:35:59,1480.65,1481,1480.5,1480.5
2019-01-16T12:36:59,1480.5,1481.1,1480.5,1481.1
2019-01-16T12:37:59,1481.1,1481.1,1480.55,1481.1
2019-01-16T12:38:59,1481.1,1481.1,1480.5,1481
2019-01-16T12:39:59,1481,1481,1481,1481
2019-01-16T12:40:59,1481,1481,1480.5,1481
2019-01-16T12:41:59,1481,1481,1481,1481
2019-01-16T12:42:59,1480.85,1480.85,1480.5,1480.85
2019-01-16T12:43:59,1480.85,1480.95,1480,1480
2019-01-16T12:44:59,1480.1,1481.1,1480.05,1480.05
2019-01-16T12:45:59,1480.05,1481.1,1479.5,1480.4
2019-01-16T12:46:59,1480.4,1480.4,1479.55,1480.35
2019-01-16T12:47:59,1480.35,1480.35,1479.55,1479.9
2019-01-16T12:48:59,1479.9,1479.95,1479.55,1479.95
2019-01-16T12:49:59,1479.95,1479.95,1479.5,1479.5
2019-01-16T12:50:59,1479.9,1480,1479.55,1479.55
2019-01-16T12:51:59,1479.15,1479.15,1479.15,1479.15
2019-01-16T12:52:59,1479.5,1479.5,1478.15,1478.15
2019-01-16T12:53:59,1478.15,1478.9,1477.9,1478.8
2019-01-16T12:54:59,1478.8,1478.95,1478,1478.35
2019-01-16T12:55:59,1478.35,1479.5,1478.1,1479.5
2019-01-16T12:56:59,1479.5,1479.5,1479.25,1479.25
2019-01-16T12:57:59,1479.25,1479.4,1477.85,1479
2019-01-16T12:58:59,1479,1479,1478.65,1479
2019-01-16T12:59:59,1479,1479.4,1478.85,1479.4
2019-01-16T13:00:59,1477.5,1479.4,1477.5,1477.6
2019-01-16T13:01:59,1478,1479,1477.5,1479
2019-01-16T13:02:59,1479,1479.1,1479,1479.1
2019-01-16T13:03:59,1479.35,1479.4,1479.1,1479.4
2019-01-16T13:04:59,1479.1,1479.3,1478.9,1479.3
2019-01-16T13:05:59,1479.3,1479.3,1478.55,1478.55
2019-01-16T13:06:59,1478.55,1479,1478.55,1479
2019-01-16T13:07:59,1479,1479.3,1479,1479.25
2019-01-16T13:08:59,1479.25,1479.35,1479.25,1479.35
2019-01-16T13:09:59,1479.35,1479.35,1478.4,1478.4
2019-01-16T13:10:59,1478.4,1479.05,1478.4,1479.05
2019-01-16T13:11:59,1479.05,1479.05,1478.05,1478.25
2019-01-16T13:12:59,1478.25,1479,1478.25,1479
2019-01-16T13:13:59,1479,1479,1478,1478.95
2019-01-16T13:14:59,1478.95,1478.95,1478.05,1478.05
2019-01-16T13:15:59,1478.05,1478.75,1477.6,1477.6
2019-01-16T13:16:59,1477.6,1478.2,1477.6,1478
2019-01-16T13:17:59,1478,1478,1476.4,1477.55
2019-01-16T13:18:59,1476.4,1477.6,1476.4,1476.55
2019-01-16T13:19:59,1477.5,1477.5,1476.55,1476.6
2019-01-16T13:20:59,1477,1477,1476.4,1477
2019-01-16T13:21:59,1477.3,1478.1,1477.3,1478
2019-01-16T13:22:59,1478,1479.85,1478,1479.8
2019-01-16T13:23:59,1479.8,1479.8,1479.7,1479.7
2019-01-16T13:24:59,1479.7,1479.7,1479,1479.5
2019-01-16T13:25:59,1479.5,1479.75,1479.5,1479.75
2019-01-16T13:26:59,1479,1479.9,1479,1479.5
2019-01-16T13:27:59,1479.85,1479.85,1479.8,1479.8
2019-01-16T13:28:59,1479.8,1479.85,1479.15,1479.85
2019-01-16T13:29:59,1479.85,1479.85,1479.35,1479.35
2019-01-16T13:30:59,1479.1,1479.85,1479,1479.85
2019-01-16T13:31:59,1479.85,1479.85,1479.8,1479.8
2019-01-16T13:32:59,1479.8,1480,1479.25,1479.25
2019-01-16T13:33:59,1479.25,1479.95,1479.2,1479.2
2019-01-16T13:34:59,1479.2,1479.8,1479.2,1479.55
2019-01-16T13:35:59,1479.55,1479.55,1479.55,1479.55
2019-01-16T13:36:59,1479.85,1479.85,1479.55,1479.55
2019-01-16T13:37:59,1479.55,1479.55,1478.9,1478.9
2019-01-16T13:38:59,1478.9,1479,1478.9,1479
2019-01-16T13:39:59,1479,1479,1477.5,1478.35
2019-01-16T13:40:59,1478.35,1479.3,1477.7,1477.7
2019-01-16T13:41:59,1477.7,1477.7,1473.55,1474.55
2019-01-16T13:42:59,1474.55,1475.95,1472.2,1472.35
2019-01-16T13:43:59,1472.35,1474.5,1472.05,1474
2019-01-16T13:44:59,1474,1476.05,1473.5,1476.05
2019-01-16T13:45:59,1476.05,1476.25,1475,1475.3
2019-01-16T13:46:59,1475.3,1476.25,1475.3,1476.25
2019-01-16T13:47:59,1475.9,1476.7,1475.9,1476.7
2019-01-16T13:48:59,1476.7,1476.7,1474.8,1474.8
2019-01-16T13:49:59,1475.2,1475.3,1474.5,1475.3
2019-01-16T13:50:59,1476,1476.5,1475.4,1475.9
2019-01-16T13:51:59,1475.9,1477,1475.6,1475.6
2019-01-16T13:52:59,1475.6,1476.2,1475.15,1475.15
2019-01-16T13:53:59,1475.15,1476,1475.15,1476
2019-01-16T13:54:59,1476,1476,1474.9,1475
2019-01-16T13:55:59,1475.1,1476.4,1474.75,1476.4
2019-01-16T13:56:59,1476.4,1478.8,1475.75,1478.8
2019-01-16T13:57:59,1478.8,1478.8,1477.15,1477.15
2019-01-16T13:58:59,1477.35,1477.9,1477.2,1477.75
2019-01-16T13:59:59,1477.75,1477.75,1476.9,1476.9
2019-01-16T14:00:59,1476.9,1477.8,1476.6,1476.8
2019-01-16T14:01:59,1477.55,1477.55,1476.7,1476.7
2019-01-16T14:02:59,1476.7,1477.55,1476.7,1476.8
2019-01-16T14:03:59,1476.8,1477.65,1476.8,1477.6
2019-01-16T14:04:59,1477.6,1477.8,1476.65,1476.75
2019-01-16T14:05:59,1476.75,1476.85,1475.95,1476.2
2019-01-16T14:06:59,1476.2,1476.2,1475.55,1476
2019-01-16T14:07:59,1476.65,1477.05,1476,1476
2019-01-16T14:08:59,1476,1477.55,1476,1477.55
2019-01-16T14:09:59,1477.55,1478,1476.9,1476.9
2019-01-16T14:10:59,1476.9,1477,1476.85,1476.9
2019-01-16T14:11:59,1476.9,1477.65,1476.25,1477.65
2019-01-16T14:12:59,1477.65,1477.65,1475.8,1475.8
2019-01-16T14:13:59,1475.8,1476.4,1475.8,1476.4
2019-01-16T14:14:59,1476.4,1476.9,1476,1476.25
2019-01-16T14:15:59,1476.25,1477,1476.2,1476.2
2019-01-16T14:16:59,1476.2,1476.95,1476.2,1476.95
2019-01-16T14:17:59,1476.95,1476.95,1476,1476
2019-01-16T14:18:59,1475.6,1476.7,1475.6,1476.7
2019-01-16T14:19:59,1476.7,1476.7,1475.75,1475.8
2019-01-16T14:20:59,1475.8,1477,1475.8,1477
2019-01-16T14:21:59,1477,1477,1477,1477
2019-01-16T14:22:59,1477,1477.2,1476.8,1476.8
2019-01-16T14:23:59,1476.8,1477,1475.6,1477
2019-01-16T14:24:59,1477,1477.35,1476,1476.05
